name                           ||	 stargazers_count ||	 updated_at

-------------------------------------------------------------------------------

brackets                       ||	 33730            ||	 2021-09-25T07:06:09Z
adobe.github.com               ||	 980              ||	 2021-09-24T09:07:07Z
cssfilterlab                   ||	 346              ||	 2021-09-23T15:27:44Z
aem-project-archetype          ||	 374              ||	 2021-09-22T15:40:12Z
balance-text                   ||	 1064             ||	 2021-09-15T08:08:54Z
GLS3D                          ||	 103              ||	 2021-09-10T16:38:11Z
aem-htl-repl                   ||	 144              ||	 2021-09-09T14:25:29Z
webkit                         ||	 203              ||	 2021-09-08T14:25:39Z
brackets-updates               ||	 16               ||	 2021-09-06T16:11:46Z
brackets-edge-web-fonts        ||	 51               ||	 2021-09-02T09:54:48Z
brackets.io                    ||	 109              ||	 2021-09-02T08:50:57Z
brackets-shell                 ||	 1171             ||	 2021-09-02T08:42:55Z
brackets-registry              ||	 47               ||	 2021-09-02T08:40:17Z
web-platform                   ||	 90               ||	 2021-08-27T15:11:34Z
Spry                           ||	 140              ||	 2021-08-26T15:05:33Z
angle                          ||	 17               ||	 2021-07-26T16:01:35Z
brackets-app                   ||	 497              ||	 2021-07-24T09:56:38Z
aem-brackets-extension         ||	 54               ||	 2021-06-15T11:37:24Z
brackets-phonegap              ||	 112              ||	 2021-06-10T20:07:32Z
chromium                       ||	 192              ||	 2021-05-31T13:57:07Z
angle.js                       ||	 15               ||	 2021-03-08T22:01:58Z
glsl2agal                      ||	 163              ||	 2021-03-06T07:44:48Z
brackets-plugin-exclusions     ||	 10               ||	 2020-12-24T16:41:42Z
aem-eclipse-developer-tools    ||	 37               ||	 2020-12-23T00:27:52Z
dds2atf                        ||	 58               ||	 2020-10-23T15:34:26Z
telemetry-utils                ||	 34               ||	 2020-08-29T16:43:46Z
graphicalweb-keynote           ||	 37               ||	 2019-11-25T16:55:45Z
css-pseudo-elements            ||	 20               ||	 2018-11-13T21:16:43Z
skia                           ||	 13               ||	 2018-06-21T04:11:34Z
iphone-filter-demo             ||	 21               ||	 2018-06-18T19:03:37Z
